,Название фильмы и год выпуска,Описание,О фильме
38,Пассажиры (2016),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фантастика, триллер, драма, мелодрама ...
 Страна -  США, Австралия 
 В ролях -  Дженнифер Лоуренс, Крис Пратт, Майкл Шин, Лоренс Фишбёрн, ...
   Космический корабль с 5 000 пассажирами на борту, погруженными на время полета в искусственный сон, держит курс на планету, которая станет для них новым домом. Всё идет по плану, но из-за сбоя системы двое
"
39,Стажёр (2015),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  мелодрама, комедия ...
 Страна -  США 
 В ролях -  Роберт Де Ниро, Энн Хэтэуэй, Рене Руссо, Андерс Холм, ...
   70-летний вдовец Бен Уитакер обнаруживает, что выход на пенсию - еще не конец. Пользуясь случаем, он становится старшим стажером в интернет-магазине модной одежды под руководством Джулс Остин....
"
40,Ван Хельсинг (2004),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фэнтези, боевик, триллер, приключения ...
 Страна -  США, Чехия, Румыния 
 В ролях -  Хью Джекман, Кейт Бекинсейл, Ричард Роксбург, Дэвид Уэнэм, ...
   Глубоко в Карпатах лежит таинственная страна Трансильвания - мир, в котором зло встречается на каждом шагу, мир, в котором опасность оживает с заходом солнца, и где монстры, живущие в глубине человеческих
"
41,Сплит (2017),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  триллер, ужасы ...
 Страна -  США, Япония 
 В ролях -  Джеймс МакЭвой, Аня Тейлор-Джой, Бетти Бакли, Хейли Лу ...
   Cредь бела дня с многолюдной парковки незнакомец похищает трёх школьниц. Они приходят в себя в закрытом помещении, а в душе владельца таятся 23 лика страха. Сменяя друг друга, личности ведут обычную для них
"
42,Пол: Секретный материальчик (2011),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фантастика, комедия, приключения ...
 Страна -  Великобритания, США 
 В ролях -  Саймон Пегг, Ник Фрост, Сет Роген, Джейсон Бейтман, Кристен ...
   Два английских гика отправляются на одно из самых значимых фанатских событий в области фантастики - конвент ComicCon в Америке. По пути, неподалёку от известной Зоны 51, они встречают сбежавшего инопланетянина
"
43,Впритык (2010),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  комедия ...
 Страна -  США 
 В ролях -  Роберт Дауни мл., Зак Галифианакис, Мишель Монахэн, Джейми ...
   Питер готовится стать отцом и находится на грани нервного срыва. И его нервам не идет на пользу тот факт, что ему предстоит предпринять целое путешествие, да еще и в компании честолюбивого актера, чтобы успеть
"
44,Шпион (2015),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  боевик, комедия ...
 Страна -  США 
 В ролях -  Мелисса Маккарти, Джейсон Стэйтем, Джуд Лоу, Роуз Бирн, ...
   Сьюзан Купер всю свою жизнь мечтала стать секретным агентом и даже устроилась работать в ЦРУ. Однако, дальше сотрудника самой низкой ступени ей так и не удалось продвинуться. Понимая, что осуществить свою
"
45,Калашников (2020),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  биография, история ...
 Страна -  Россия 
 В ролях -  Юра Борисов, Ольга Лерман, Артур Смольянинов, Эльдар ...
   Калашников. Все знают эту фамилию, но не все знают, какой долгий и тернистый путь прошёл парень-самоучка, чтобы в 28 лет создать легендарный автомат АК-47, который по сей день является символом оружейной мысли
"
46,Убойные каникулы (2010),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  ужасы, комедия ...
 Страна -  Канада, США 
 В ролях -  Тайлер Лабин, Алан Тьюдик, Катрина Боуден, Джесси Мосс, ...
   Группа студентов отправляется за город, чтобы вовсю оторваться на выходных: попить пивка, поплавать в озере и подышать чистым лесным воздухом. Но уже в первый день они сталкиваются с неотесанными фермерами
"
47,Кин-дза-дза! (1986),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фантастика, драма, комедия ...
 Страна -  СССР 
 В ролях -  Станислав Любшин, Евгений Леонов, Юрий Яковлев, Леван ...
   Прораб Владимир Николаевич Машков и не подозревал, что обычный путь до универсама за хлебом и макаронами обернется межгалактическими путешествиями. А все эта встреча со странным босоногим человеком с каким-то
"
48,Час пик (1998),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  боевик, комедия, криминал ...
 Страна -  США 
 В ролях -  Джеки Чан, Крис Такер, Элизабет Пенья, Том Уилкинсон, Кен ...
   В Лос-Анджелесе злодеи похищают малолетнюю дочь китайского консула, которую в Гонконге учил кунг-фу инспектор Ли. Консул вызывает Ли в Америку, чтобы тот принял участие в освобождении девочки. Агенты ФБР
"
49,Лемони Сникет: 33 несчастья (2004),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фэнтези, комедия, приключения, семейный ...
 Страна -  США, Германия 
 В ролях -  Джим Керри, Эмили Браунинг, Лиам Эйкен, Кара Хоффман, Шелби ...
   В один скверный пасмурный день на юных Бодлеров – Вайолет, Клауса и их маленькую сестричку Солнышко – обрушились несчастья. Страшный пожар лишил их дома и любящих родителей. В жизни сирот появился опекун Граф
"
50,Блэйд (1998),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  боевик, ужасы, фэнтези ...
 Страна -  США 
 В ролях -  Уэсли Снайпс, Стивен Дорфф, Крис Кристофферсон, Н'Буш Райт, ...
   Получеловек-полувампир Блэйд намерен уничтожить виновника своей судьбы - Дьякона Фроста. Когда-то в кровь Блэйда попало совсем немного вампирского яда, но с течением времени он стал ощущать неизбежность своего
"
51,Чужой (1979),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  ужасы, фантастика, триллер ...
 Страна -  Великобритания, США 
 В ролях -  Сигурни Уивер, Том Скеррит, Иэн Холм, Джон Хёрт, Гарри Дин ...
   В далеком будущем возвращающийся на Землю грузовой космический корабль перехватывает исходящий с неизвестной планеты неопознанный сигнал. Экипаж, в соответствии с основными инструкциями, обязан найти и
"
52,Интерстеллар (2014),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фантастика, драма, приключения ...
 Страна -  США, Великобритания, Канада 
 В ролях -  Мэттью МакКонахи, Энн Хэтэуэй, Джессика Честейн, Маккензи ...
   Когда засуха, пыльные бури и вымирание растений приводят человечество к продовольственному кризису, коллектив исследователей и учёных отправляется сквозь червоточину (которая предположительно соединяет области
"
53,Остров проклятых (2009),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  триллер, детектив, драма ...
 Страна -  США 
 В ролях -  Леонардо ДиКаприо, Марк Руффало, Бен Кингсли, Макс фон ...
   Два американских судебных пристава отправляются на один из островов в штате Массачусетс, чтобы расследовать исчезновение пациентки клиники для умалишенных преступников. При проведении расследования им придется
"
54,Любовь и голуби (1984),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  мелодрама, комедия ...
 Страна -  СССР 
 В ролях -  Александр Михайлов, Нина Дорошина, Людмила Гурченко, Сергей ...
   Ликвидируя неисправность лебедки, Василий Кузякин получил травму и путевку на юг. Там он встретил роковую женщину Раису Захаровну и… вернулся Вася с курорта не к себе в деревню, а в дом Раисы Захаровны.
"
55,Матрица (1999),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фантастика, боевик ...
 Страна -  США, Австралия 
 В ролях -  Киану Ривз, Лоренс Фишбёрн, Кэрри-Энн Мосс, Хьюго Уивинг, ...
   Жизнь Томаса Андерсона разделена на две части: днём он - самый обычный офисный работник, получающий нагоняи от начальства, а ночью превращается в хакера по имени Нео, и нет места в сети, куда он бы не смог
"
