,Название фильмы и год выпуска,Описание,О фильме
182,Эверест (2015),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  боевик, триллер, драма, приключения, биография ...
 Страна -  Великобритания, США, Исландия 
 В ролях -  Джейсон Кларк, Джош Бролин, Джейк Джилленхол, Сэм ...
   Эверест - великая неприступная гора, покорить вершину которой мечтают многие профессиональные альпинисты. Одна из экспедиций на ее вершину закончилась настоящей трагедией, однако этот факт не останавливает
"
183,50 первых поцелуев (2004),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  комедия, мелодрама, драма ...
 Страна -  США 
 В ролях -  Адам Сэндлер, Дрю Бэрримор, Роб Шнайдер, Шон Эстин, Люсия ...
   Генри Рот влюбляется в очаровательную Люси. Несмотря на небольшие помехи, уже к вечеру настойчивому Ромео удается добиться взаимности красавицы. Молодые люди счастливы и уверены, что их любовь продлится вечно.
"
184,Брестская крепость (2010),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  военный, боевик, драма, история ...
 Страна -  Беларусь, Россия 
 В ролях -  Алексей Копашов, Андрей Мерзликин, Павел Деревянко, ...
   История о героической обороне Брестской крепости, которая приняла на себя первый удар немецко-фашистских захватчиков 22 июня 1941 года. Рассказ о трёх главных очагах сопротивления, возглавляемых командиром
"
185,Рождественская история (2009),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  мультфильм, фэнтези, драма, комедия, приключения, ...
 Страна -  США 
 В ролях -  Джим Керри, Гари Олдман, Колин Фёрт, Кэри Элвес, Робин ...
   Это викторианская поучительная история о старом и ожесточившемся скупердяе Эбенезере Скрудже, который в течение одной ночи переживает испытание глубокого очищения. Мистер Скрудж - финансист/денежный меняла,
"
186,В диких условиях (2007),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, приключения, биография ...
 Страна -  США 
 В ролях -  Эмиль Хирш, Хэл Холбрук, Марша Гей Харден, Уильям Хёрт, ...
   После окончания колледжа Эмори один из его ведущих студентов и атлетов Кристофер МакКэндлесс оставляет все свое имущество, отдает накопленные за время учебы 24 тыс. долларов в благотворительный фонд, и
"
187,Мстители: Финал (2019),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фантастика, боевик, драма, приключения ...
 Страна -  США 
 В ролях -  Роберт Дауни мл., Крис Эванс, Марк Руффало, Крис Хемсворт, ...
   Оставшиеся в живых члены команды Мстителей и их союзники должны разработать новый план, который поможет противостоять разрушительным действиям могущественного титана Таноса. После наиболее масштабной и
"
188,Довод (2020),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фантастика, боевик, триллер, приключения ...
 Страна -  Великобритания, США 
 В ролях -  Джон Дэвид Вашингтон, Роберт Паттинсон, Элизабет Дебики, ...
   После теракта в киевском оперном театре агент ЦРУ объединяется с британской разведкой, чтобы противостоять русскому олигарху, который сколотил состояние на торговле оружием. Для этого агенты используют
"
189,Человек-паук (2002),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  фантастика, боевик, приключения ...
 Страна -  США 
 В ролях -  Тоби Магуайр, Уиллем Дефо, Кирстен Данст, Джеймс Франко, ...
   Питер Паркер – обыкновенный школьник. Однажды он отправился с классом на экскурсию, где его кусает странный паук-мутант. Через время парень почувствовал в себе нечеловеческую силу и ловкость в движении, а
"
190,Бэтмен: Начало (2005),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  боевик, фантастика, приключения, драма ...
 Страна -  Великобритания, США 
 В ролях -  Кристиан Бэйл, Кэти Холмс, Майкл Кейн, Киллиан Мёрфи, Том ...
   В детстве юный наследник огромного состояния Брюс Уэйн оказался свидетелем убийства своих родителей, и тогда он решил бороться с преступностью. Спустя годы он отправляется в путешествие по миру, чтобы найти
"
191,Мальчик в полосатой пижаме (2008),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  драма, военный, история ...
 Страна -  Великобритания, США 
 В ролях -  Эйса Баттерфилд, Джек Скэнлон, Дэвид Тьюлис, Вера Фармига, ...
   История, происходящая во время Второй мировой войны и показанная сквозь глаза невинного и ничего не подозревающего о происходящих событиях Бруно, восьмилетнего сына коменданта концентрационного лагеря. Его
"
192,Невероятная жизнь Уолтера Митти (2013),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  комедия, приключения, фэнтези, драма, мелодрама ...
 Страна -  США, Великобритания 
 В ролях -  Бен Стиллер, Кристен Уиг, Адам Скотт, Ширли Маклейн, Кэтрин ...
   Уолтер Митти - сотрудник отдела иллюстраций журнала Life. Его работа - сплошная рутина, хотя в своих мечтах он уносится очень далеко. В присланных фотографом Шоном О'Коннелом негативах для обложки журнала не
"
193,Зависнуть в Палм-Спрингс (2020),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  комедия, мелодрама, фантастика ...
 Страна -  США, Гонконг 
 В ролях -  Энди Сэмберг, Кристин Милиоти, Дж.К. Симмонс, Питер ...
   9 ноября неподалёку от Палм-Спрингс идёт подготовка к свадьбе. Найлз, парень одной из подружек невесты, не торопится облачаться в смокинг - в шортах и гавайской рубашке он запрыгивает в бассейн и целый день
"
194,300 спартанцев (2007),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  боевик, драма ...
 Страна -  США, Канада, Болгария, Австралия 
 В ролях -  Джерард Батлер, Майкл Фассбендер, Винсент Риган, Дэвид ...
   Рассказ о кровопролитной битве при Фермопилах в 480 году до н. э., в которой триста отважных спартанцев во главе с царем Леонидом преградили путь многотысячной армии персидского царя Ксеркса....
"
195,Агенты А.Н.К.Л. (2015),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  боевик, комедия, приключения ...
 Страна -  США, Великобритания 
 В ролях -  Генри Кавилл, Арми Хаммер, Алисия Викандер, Элизабет ...
   Наполеон Соло - агент ЦРУ, на счету которого огромное количество успешно проведенных операций. Он считается одним из лучших секретных агентов во всем мире, и с ним может сравниться только один человек - самый
"
196,Гонка (2013),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  спорт, драма, биография ...
 Страна -  Великобритания, Германия, США 
 В ролях -  Крис Хемсворт, Даниэль Брюль, Оливия Уайлд, Александра ...
   70-е годы XX века. Золотое время «Формулы-1»: обтекаемые формы гоночных машин, брутальные на треке и ранимые в обычной жизни гонщики, сексуальные поклонницы, литры шампанского на финише для победителя… Два
"
197,Заклятие (2013),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  ужасы, детектив ...
 Страна -  США 
 В ролях -  Вера Фармига, Патрик Уилсон, Рон Ливингстон, Лили Тейлор, ...
   Эд и Лоррейн Уоррены - детективы, которые расследуют паранормальные дела. Однажды к ним обращается семья, страдающая от злого духа. Уоррены, вынужденные сражаться с могущественной демонической сущностью,
"
198,Мистер Нокаут (2022),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  спорт, драма ...
 Страна -  Россия 
 В ролях -  Виктор Хориняк, Сергей Безруков, Ангелина Стречина, Инга ...
   История жизни и приключений легендарного советского боксера Валерия Попенченко, чемпиона СССР, Европы и победителя Олимпийских игр 1964 года в Токио - о его детстве в суворовском училище в Ташкенте, о службе
"
199,Кинг Конг (2005),https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  боевик, драма, мелодрама, приключения, фэнтези ...
 Страна -  США, Новая Зеландия, Германия 
 В ролях -  Наоми Уоттс, Эдриан Броуди, Джек Блэк, Томас Кречман, Энди ...
   В 1930-м году съемочная группа под предводительством режиссера-неудачника Карла Дэнхэма отправляется на загадочный Остров Черепа неподалеку от Суматры, чтобы изучать легенды о гигантской горилле по кличке
"
200,"Кавказская пленница, или Новые приключения Шурика (1966)",https://topnaroda.com/rating/kino/37161-top-100-filmov-vseh-vremen.html,"
 Жанр -  комедия, приключения, мелодрама, мюзикл ...
 Страна -  СССР 
 В ролях -  Александр Демьяненко, Наталья Варлей, Юрий Никулин, Георгий ...
   Отправившись в одну из горных республик собирать фольклор, студент Шурик влюбляется в симпатичную девушку Нину - спортсменку, отличницу, комсомолку и просто красавицу. Но её внезапно похищают банда их трёх
"
